Age,Gender,Avg_Daily_Screen_Time_hr,Primary_Device,Exceeded_Recommended_Limit,Educational_to_Recreational_Ratio,Health_Impacts,Urban_or_Rural,Anxiety,Eye Strain,Obesity Risk,Poor Sleep,Age_Group,Educational_Time,Recreational_Time,Cluster,User_Segment,Risk_Score,Risk_Category
14,Male,3.99,Smartphone,True,0.42,"Poor Sleep, Eye Strain",Urban,0,1,0,1,14-16,1.6758,2.3142000000000005,1,Heavy Usage,1.0,Medium Risk
11,Female,4.61,Laptop,True,0.3,Poor Sleep,Urban,0,0,0,1,11-13,1.383,3.2270000000000003,2,Low Usage,1.0,Medium Risk
18,Female,3.73,TV,True,0.32,Poor Sleep,Urban,0,0,0,1,17-19,1.1936,2.5364,2,Low Usage,1.0,Medium Risk
12,Female,5.89,Smartphone,True,0.49,"Poor Sleep, Anxiety",Urban,1,0,0,1,11-13,2.8861,3.0039,0,Moderate Usage,1.0,Medium Risk
14,Female,4.88,Smartphone,True,0.44,Poor Sleep,Urban,0,0,0,1,14-16,2.1471999999999998,2.7328,1,Heavy Usage,1.0,Medium Risk
14,Male,4.61,Laptop,True,0.36,"Poor Sleep, Anxiety",Rural,1,0,0,1,14-16,1.6596,2.9504,2,Low Usage,1.0,Medium Risk
18,Male,3.24,Tablet,True,0.48,"Poor Sleep, Obesity Risk",Urban,0,0,1,1,17-19,1.5552000000000001,1.6848,1,Heavy Usage,1.0,Medium Risk
18,Male,3.53,Tablet,True,0.44,Poor Sleep,Rural,0,0,0,1,17-19,1.5532,1.9768,1,Heavy Usage,1.0,Medium Risk
15,Female,4.94,TV,True,0.36,Poor Sleep,Rural,0,0,0,1,14-16,1.7784,3.1616000000000004,2,Low Usage,1.0,Medium Risk
12,Male,4.59,Smartphone,True,0.43,Poor Sleep,Urban,0,0,0,1,11-13,1.9737,2.6163,1,Heavy Usage,1.0,Medium Risk
11,Male,6.08,TV,True,0.48,Eye Strain,Rural,0,1,0,0,11-13,2.9184,3.1616,0,Moderate Usage,1.0,Medium Risk
15,Male,6.15,Smartphone,True,0.4,Poor Sleep,Urban,0,0,0,1,14-16,2.4600000000000004,3.69,0,Moderate Usage,1.0,Medium Risk
15,Female,3.69,Smartphone,True,0.34,Poor Sleep,Urban,0,0,0,1,14-16,1.2546000000000002,2.4353999999999996,2,Low Usage,1.0,Medium Risk
10,Female,7.1,Smartphone,True,0.43,"Poor Sleep, Eye Strain",Rural,0,1,0,1,11-13,3.053,4.047,0,Moderate Usage,1.0,Medium Risk
13,Female,6.98,Smartphone,True,0.48,Obesity Risk,Urban,0,0,1,0,14-16,3.3504,3.6296000000000004,0,Moderate Usage,1.0,Medium Risk
12,Male,3.82,Smartphone,True,0.4,Anxiety,Urban,1,0,0,0,11-13,1.528,2.292,2,Low Usage,1.0,Medium Risk
15,Male,3.85,Smartphone,True,0.49,Obesity Risk,Urban,0,0,1,0,14-16,1.8865,1.9635,1,Heavy Usage,1.0,Medium Risk
13,Female,4.05,Smartphone,True,0.33,Eye Strain,Urban,0,1,0,0,14-16,1.3365,2.7135,2,Low Usage,1.0,Medium Risk
12,Female,6.78,TV,True,0.33,Eye Strain,Urban,0,1,0,0,11-13,2.2374,4.5426,2,Low Usage,1.0,Medium Risk
8,Male,3.19,Tablet,True,0.54,"Poor Sleep, Anxiety, Obesity Risk",Urban,1,0,1,1,5-10,1.7226000000000001,1.4673999999999998,1,Heavy Usage,1.0,Medium Risk
16,Male,4.22,Smartphone,True,0.5,Poor Sleep,Urban,0,0,0,1,17-19,2.11,2.11,1,Heavy Usage,1.0,Medium Risk
18,Male,5.13,TV,True,0.43,"Poor Sleep, Obesity Risk",Urban,0,0,1,1,17-19,2.2058999999999997,2.9241,1,Heavy Usage,1.0,Medium Risk
18,Male,4.45,Smartphone,True,0.48,Eye Strain,Urban,0,1,0,0,17-19,2.136,2.314,1,Heavy Usage,1.0,Medium Risk
14,Male,4.28,Smartphone,True,0.34,Eye Strain,Rural,0,1,0,0,14-16,1.4552000000000003,2.8247999999999998,2,Low Usage,1.0,Medium Risk
11,Female,5.34,Smartphone,True,0.4,"Poor Sleep, Eye Strain",Urban,0,1,0,1,11-13,2.136,3.2039999999999997,2,Low Usage,1.0,Medium Risk
16,Female,3.5,Laptop,True,0.4,"Eye Strain, Obesity Risk",Rural,0,1,1,0,17-19,1.4000000000000001,2.0999999999999996,1,Heavy Usage,1.0,Medium Risk
10,Male,11.68,TV,True,0.47,Poor Sleep,Urban,0,0,0,1,11-13,5.489599999999999,6.1904,0,Moderate Usage,1.0,Medium Risk
10,Male,4.63,Smartphone,True,0.47,Poor Sleep,Urban,0,0,0,1,11-13,2.1761,2.4539,1,Heavy Usage,1.0,Medium Risk
14,Male,4.21,TV,True,0.38,Poor Sleep,Urban,0,0,0,1,14-16,1.5998,2.6102,2,Low Usage,1.0,Medium Risk
12,Male,4.56,Smartphone,True,0.5,"Poor Sleep, Eye Strain",Urban,0,1,0,1,11-13,2.28,2.28,1,Heavy Usage,1.0,Medium Risk
16,Female,3.51,TV,True,0.44,"Poor Sleep, Anxiety",Urban,1,0,0,1,17-19,1.5444,1.9655999999999998,1,Heavy Usage,1.0,Medium Risk
14,Female,4.69,Smartphone,True,0.35,"Poor Sleep, Eye Strain",Urban,0,1,0,1,14-16,1.6415,3.0485000000000007,2,Low Usage,1.0,Medium Risk
9,Male,7.61,TV,True,0.5,Poor Sleep,Urban,0,0,0,1,5-10,3.805,3.805,0,Moderate Usage,1.0,Medium Risk
16,Male,6.74,TV,True,0.42,"Eye Strain, Anxiety, Obesity Risk",Urban,1,1,1,0,17-19,2.8308,3.9092000000000002,0,Moderate Usage,1.0,Medium Risk
17,Male,4.29,Laptop,True,0.39,"Poor Sleep, Eye Strain",Rural,0,1,0,1,17-19,1.6731,2.6169000000000002,2,Low Usage,1.0,Medium Risk
12,Male,6.03,TV,True,0.39,"Poor Sleep, Anxiety",Urban,1,0,0,1,11-13,2.3517,3.6783,2,Low Usage,1.0,Medium Risk
15,Male,4.55,Smartphone,True,0.39,"Poor Sleep, Anxiety",Urban,1,0,0,1,14-16,1.7745,2.7755,2,Low Usage,1.0,Medium Risk
10,Female,6.86,Smartphone,True,0.56,Poor Sleep,Rural,0,0,0,1,11-13,3.8416000000000006,3.0183999999999997,0,Moderate Usage,1.0,Medium Risk
8,Male,3.47,TV,True,0.41,"Poor Sleep, Obesity Risk",Rural,0,0,1,1,5-10,1.4227,2.0473,1,Heavy Usage,1.0,Medium Risk
11,Female,4.61,Tablet,True,0.46,Poor Sleep,Urban,0,0,0,1,11-13,2.1206,2.4894000000000003,1,Heavy Usage,1.0,Medium Risk
11,Male,4.31,TV,True,0.42,Poor Sleep,Urban,0,0,0,1,11-13,1.8101999999999998,2.4997999999999996,1,Heavy Usage,1.0,Medium Risk
11,Male,3.87,TV,True,0.43,"Poor Sleep, Obesity Risk",Urban,0,0,1,1,11-13,1.6641,2.2059,1,Heavy Usage,1.0,Medium Risk
13,Male,5.67,Tablet,True,0.41,"Poor Sleep, Anxiety",Urban,1,0,0,1,14-16,2.3247,3.3453,2,Low Usage,1.0,Medium Risk
9,Female,3.8,TV,True,0.53,"Poor Sleep, Eye Strain",Rural,0,1,0,1,5-10,2.014,1.786,1,Heavy Usage,1.0,Medium Risk
17,Male,4.61,TV,True,0.34,"Poor Sleep, Obesity Risk",Rural,0,0,1,1,17-19,1.5674000000000001,3.0426,2,Low Usage,1.0,Medium Risk
11,Male,5.12,TV,True,0.31,Poor Sleep,Urban,0,0,0,1,11-13,1.5872,3.5328,2,Low Usage,1.0,Medium Risk
15,Female,5.82,TV,True,0.48,Poor Sleep,Urban,0,0,0,1,14-16,2.7936,3.0264,0,Moderate Usage,1.0,Medium Risk
14,Female,4.27,Smartphone,True,0.47,"Poor Sleep, Eye Strain",Rural,0,1,0,1,14-16,2.0069,2.2630999999999997,1,Heavy Usage,1.0,Medium Risk
16,Male,5.79,Smartphone,True,0.35,Poor Sleep,Urban,0,0,0,1,17-19,2.0265,3.7635,2,Low Usage,1.0,Medium Risk
12,Female,3.64,Smartphone,True,0.44,Poor Sleep,Urban,0,0,0,1,11-13,1.6016000000000001,2.0384,1,Heavy Usage,1.0,Medium Risk
12,Male,6.15,Laptop,True,0.41,Poor Sleep,Urban,0,0,0,1,11-13,2.5215,3.6285000000000003,0,Moderate Usage,1.0,Medium Risk
15,Female,5.72,Tablet,True,0.33,"Poor Sleep, Eye Strain",Urban,0,1,0,1,14-16,1.8876,3.8324,2,Low Usage,1.0,Medium Risk
16,Male,4.45,Laptop,True,0.48,"Poor Sleep, Eye Strain",Urban,0,1,0,1,17-19,2.136,2.314,1,Heavy Usage,1.0,Medium Risk
8,Female,7.54,Smartphone,True,0.46,"Poor Sleep, Eye Strain",Urban,0,1,0,1,5-10,3.4684000000000004,4.0716,0,Moderate Usage,1.0,Medium Risk
16,Male,4.34,Tablet,True,0.48,"Poor Sleep, Anxiety",Urban,1,0,0,1,17-19,2.0831999999999997,2.2568,1,Heavy Usage,1.0,Medium Risk
16,Female,4.78,Tablet,True,0.33,"Poor Sleep, Anxiety",Rural,1,0,0,1,17-19,1.5774000000000001,3.2026000000000003,2,Low Usage,1.0,Medium Risk
15,Female,3.64,Tablet,True,0.48,"Poor Sleep, Anxiety, Obesity Risk",Urban,1,0,1,1,14-16,1.7472,1.8928,1,Heavy Usage,1.0,Medium Risk
15,Female,4.96,Tablet,True,0.42,"Anxiety, Obesity Risk",Rural,1,0,1,0,14-16,2.0831999999999997,2.8768000000000002,1,Heavy Usage,1.0,Medium Risk
15,Male,5.91,Smartphone,True,0.44,"Poor Sleep, Eye Strain",Urban,0,1,0,1,14-16,2.6004,3.3096,0,Moderate Usage,1.0,Medium Risk
18,Female,6.3,Tablet,True,0.39,Poor Sleep,Rural,0,0,0,1,17-19,2.457,3.843,0,Moderate Usage,1.0,Medium Risk
15,Male,3.57,Smartphone,True,0.32,"Poor Sleep, Obesity Risk",Rural,0,0,1,1,14-16,1.1424,2.4276,2,Low Usage,1.0,Medium Risk
12,Female,3.77,Laptop,True,0.48,Poor Sleep,Rural,0,0,0,1,11-13,1.8095999999999999,1.9604000000000001,1,Heavy Usage,1.0,Medium Risk
17,Female,4.73,Smartphone,True,0.47,Poor Sleep,Urban,0,0,0,1,17-19,2.2231,2.5069000000000004,1,Heavy Usage,1.0,Medium Risk
14,Male,5.76,Tablet,True,0.4,Poor Sleep,Urban,0,0,0,1,14-16,2.304,3.456,2,Low Usage,1.0,Medium Risk
16,Female,3.93,Smartphone,True,0.39,Poor Sleep,Rural,0,0,0,1,17-19,1.5327000000000002,2.3973,2,Low Usage,1.0,Medium Risk
14,Male,4.61,TV,True,0.31,Obesity Risk,Urban,0,0,1,0,14-16,1.4291,3.1809000000000003,2,Low Usage,1.0,Medium Risk
16,Male,5.67,TV,True,0.49,Poor Sleep,Urban,0,0,0,1,17-19,2.7782999999999998,2.8917,0,Moderate Usage,1.0,Medium Risk
15,Female,4.51,Laptop,True,0.4,Poor Sleep,Urban,0,0,0,1,14-16,1.804,2.7059999999999995,2,Low Usage,1.0,Medium Risk
14,Female,6.1,Smartphone,True,0.47,Poor Sleep,Rural,0,0,0,1,14-16,2.8669999999999995,3.233,0,Moderate Usage,1.0,Medium Risk
15,Male,5.61,Smartphone,True,0.39,Obesity Risk,Urban,0,0,1,0,14-16,2.1879000000000004,3.4221,2,Low Usage,1.0,Medium Risk
10,Male,6.86,TV,True,0.56,Poor Sleep,Urban,0,0,0,1,11-13,3.8416000000000006,3.0183999999999997,0,Moderate Usage,1.0,Medium Risk
15,Female,3.78,Laptop,True,0.31,Poor Sleep,Rural,0,0,0,1,14-16,1.1718,2.6082,2,Low Usage,1.0,Medium Risk
13,Male,4.67,Smartphone,True,0.44,"Anxiety, Obesity Risk",Urban,1,0,1,0,14-16,2.0548,2.6151999999999997,1,Heavy Usage,1.0,Medium Risk
18,Male,3.25,Tablet,True,0.45,"Poor Sleep, Eye Strain",Rural,0,1,0,1,17-19,1.4625000000000001,1.7874999999999999,1,Heavy Usage,1.0,Medium Risk
8,Male,5.22,Smartphone,True,0.45,"Poor Sleep, Eye Strain, Obesity Risk",Urban,0,1,1,1,5-10,2.3489999999999998,2.871,1,Heavy Usage,1.0,Medium Risk
12,Male,6.06,Smartphone,True,0.43,Eye Strain,Urban,0,1,0,0,11-13,2.6058,3.4541999999999997,0,Moderate Usage,1.0,Medium Risk
12,Male,4.37,Laptop,True,0.46,Eye Strain,Rural,0,1,0,0,11-13,2.0102,2.3598,1,Heavy Usage,1.0,Medium Risk
17,Male,4.16,Laptop,True,0.31,Poor Sleep,Rural,0,0,0,1,17-19,1.2896,2.8704,2,Low Usage,1.0,Medium Risk
14,Female,3.91,Laptop,True,0.39,Eye Strain,Urban,0,1,0,0,14-16,1.5249000000000001,2.3851,2,Low Usage,1.0,Medium Risk
14,Male,4.54,Laptop,True,0.41,Poor Sleep,Urban,0,0,0,1,14-16,1.8614,2.6786000000000003,2,Low Usage,1.0,Medium Risk
18,Female,4.59,Smartphone,True,0.35,"Poor Sleep, Anxiety, Obesity Risk",Rural,1,0,1,1,17-19,1.6064999999999998,2.9835000000000003,2,Low Usage,1.0,Medium Risk
17,Male,6.78,Smartphone,True,0.49,Poor Sleep,Urban,0,0,0,1,17-19,3.3222,3.4578,0,Moderate Usage,1.0,Medium Risk
17,Female,4.19,TV,True,0.48,Obesity Risk,Rural,0,0,1,0,17-19,2.0112,2.1788000000000003,1,Heavy Usage,1.0,Medium Risk
10,Female,3.27,TV,True,0.48,"Poor Sleep, Eye Strain",Rural,0,1,0,1,11-13,1.5695999999999999,1.7004000000000001,1,Heavy Usage,1.0,Medium Risk
14,Male,6.01,Tablet,True,0.34,"Poor Sleep, Eye Strain",Urban,0,1,0,1,14-16,2.0434,3.9665999999999997,2,Low Usage,1.0,Medium Risk
8,Female,4.74,Smartphone,True,0.5,"Eye Strain, Obesity Risk",Urban,0,1,1,0,5-10,2.37,2.37,1,Heavy Usage,1.0,Medium Risk
11,Female,3.42,Smartphone,True,0.43,"Poor Sleep, Eye Strain, Obesity Risk",Urban,0,1,1,1,11-13,1.4706,1.9494,1,Heavy Usage,1.0,Medium Risk
11,Female,5.47,Smartphone,True,0.41,"Poor Sleep, Anxiety",Urban,1,0,0,1,11-13,2.2426999999999997,3.2273,2,Low Usage,1.0,Medium Risk
12,Female,6.28,Smartphone,True,0.32,Poor Sleep,Rural,0,0,0,1,11-13,2.0096000000000003,4.2704,2,Low Usage,1.0,Medium Risk
14,Male,3.26,Smartphone,True,0.46,"Poor Sleep, Anxiety",Urban,1,0,0,1,14-16,1.4996,1.7603999999999997,1,Heavy Usage,1.0,Medium Risk
14,Male,6.06,Smartphone,True,0.38,Anxiety,Urban,1,0,0,0,14-16,2.3028,3.7571999999999997,2,Low Usage,1.0,Medium Risk
18,Female,4.67,TV,True,0.32,Poor Sleep,Urban,0,0,0,1,17-19,1.4944,3.1756,2,Low Usage,1.0,Medium Risk
14,Female,6.7,Smartphone,True,0.3,"Poor Sleep, Eye Strain",Urban,0,1,0,1,14-16,2.01,4.69,2,Low Usage,1.0,Medium Risk
13,Male,5.24,Smartphone,True,0.43,Poor Sleep,Urban,0,0,0,1,14-16,2.2532,2.9868,1,Heavy Usage,1.0,Medium Risk
17,Female,5.14,Smartphone,True,0.36,Poor Sleep,Urban,0,0,0,1,17-19,1.8503999999999998,3.2896,2,Low Usage,1.0,Medium Risk
16,Female,3.7,Tablet,True,0.33,Eye Strain,Urban,0,1,0,0,17-19,1.221,2.479,2,Low Usage,1.0,Medium Risk
12,Male,4.79,TV,True,0.32,Poor Sleep,Urban,0,0,0,1,11-13,1.5328,3.2572,2,Low Usage,1.0,Medium Risk
13,Male,3.3,Tablet,True,0.43,"Poor Sleep, Eye Strain, Anxiety",Rural,1,1,0,1,14-16,1.4189999999999998,1.881,1,Heavy Usage,1.0,Medium Risk
11,Female,5.97,Smartphone,True,0.5,Poor Sleep,Urban,0,0,0,1,11-13,2.985,2.985,0,Moderate Usage,1.0,Medium Risk
18,Female,3.05,Smartphone,True,0.37,"Eye Strain, Anxiety, Obesity Risk",Urban,1,1,1,0,17-19,1.1284999999999998,1.9215,2,Low Usage,1.0,Medium Risk
17,Female,5.18,Smartphone,True,0.42,Eye Strain,Urban,0,1,0,0,17-19,2.1755999999999998,3.0044,1,Heavy Usage,1.0,Medium Risk
14,Female,3.66,Laptop,True,0.33,"Poor Sleep, Eye Strain",Urban,0,1,0,1,14-16,1.2078000000000002,2.4522,2,Low Usage,1.0,Medium Risk
8,Female,4.84,Smartphone,True,0.54,Poor Sleep,Urban,0,0,0,1,5-10,2.6136,2.2264,1,Heavy Usage,1.0,Medium Risk
16,Female,4.6,Smartphone,True,0.4,Poor Sleep,Urban,0,0,0,1,17-19,1.8399999999999999,2.76,2,Low Usage,1.0,Medium Risk
18,Female,4.06,Smartphone,True,0.44,Poor Sleep,Urban,0,0,0,1,17-19,1.7863999999999998,2.2736,1,Heavy Usage,1.0,Medium Risk
11,Female,4.21,TV,True,0.3,"Poor Sleep, Eye Strain, Anxiety, Obesity Risk",Rural,1,1,1,1,11-13,1.263,2.947,2,Low Usage,1.0,Medium Risk
16,Female,7.07,Laptop,True,0.36,Poor Sleep,Urban,0,0,0,1,17-19,2.5452,4.524800000000001,0,Moderate Usage,1.0,Medium Risk
14,Female,4.06,Smartphone,True,0.42,Poor Sleep,Urban,0,0,0,1,14-16,1.7051999999999998,2.3548,1,Heavy Usage,1.0,Medium Risk
18,Female,6.59,Laptop,True,0.39,Poor Sleep,Rural,0,0,0,1,17-19,2.5701,4.0199,0,Moderate Usage,1.0,Medium Risk
16,Male,5.6,Laptop,True,0.4,Poor Sleep,Rural,0,0,0,1,17-19,2.2399999999999998,3.36,2,Low Usage,1.0,Medium Risk
12,Male,5.32,Laptop,True,0.31,Poor Sleep,Urban,0,0,0,1,11-13,1.6492,3.6708000000000003,2,Low Usage,1.0,Medium Risk
8,Male,4.82,TV,True,0.51,"Poor Sleep, Eye Strain, Anxiety",Rural,1,1,0,1,5-10,2.4582,2.3618,1,Heavy Usage,1.0,Medium Risk
10,Male,3.69,TV,True,0.56,Poor Sleep,Urban,0,0,0,1,11-13,2.0664000000000002,1.6235999999999997,1,Heavy Usage,1.0,Medium Risk
17,Male,4.17,TV,True,0.39,Poor Sleep,Urban,0,0,0,1,17-19,1.6263,2.5437,2,Low Usage,1.0,Medium Risk
15,Male,4.09,TV,True,0.35,"Poor Sleep, Anxiety",Urban,1,0,0,1,14-16,1.4314999999999998,2.6585,2,Low Usage,1.0,Medium Risk
18,Male,5.83,Smartphone,True,0.39,Anxiety,Rural,1,0,0,0,17-19,2.2737000000000003,3.5563,2,Low Usage,1.0,Medium Risk
13,Female,4.74,Laptop,True,0.44,Poor Sleep,Rural,0,0,0,1,14-16,2.0856,2.6544000000000003,1,Heavy Usage,1.0,Medium Risk
15,Female,4.01,TV,True,0.39,"Poor Sleep, Eye Strain",Urban,0,1,0,1,14-16,1.5639,2.4460999999999995,2,Low Usage,1.0,Medium Risk
11,Female,4.94,Smartphone,True,0.45,Poor Sleep,Urban,0,0,0,1,11-13,2.2230000000000003,2.717,1,Heavy Usage,1.0,Medium Risk
8,Male,4.15,TV,True,0.59,Eye Strain,Rural,0,1,0,0,5-10,2.4485,1.7015000000000002,1,Heavy Usage,1.0,Medium Risk
17,Female,4.75,Tablet,True,0.37,Obesity Risk,Rural,0,0,1,0,17-19,1.7575,2.9924999999999997,2,Low Usage,1.0,Medium Risk
14,Male,3.2,Smartphone,True,0.4,"Poor Sleep, Obesity Risk",Urban,0,0,1,1,14-16,1.2800000000000002,1.92,1,Heavy Usage,1.0,Medium Risk
9,Male,5.72,Smartphone,True,0.51,Eye Strain,Urban,0,1,0,0,5-10,2.9172,2.8028,0,Moderate Usage,1.0,Medium Risk
8,Female,4.73,Tablet,True,0.42,"Poor Sleep, Anxiety",Urban,1,0,0,1,5-10,1.9866000000000001,2.7434000000000003,1,Heavy Usage,1.0,Medium Risk
8,Female,7.74,Tablet,True,0.5,Poor Sleep,Urban,0,0,0,1,5-10,3.87,3.87,0,Moderate Usage,1.0,Medium Risk
15,Female,5.08,Smartphone,True,0.33,"Poor Sleep, Eye Strain",Urban,0,1,0,1,14-16,1.6764000000000001,3.4036,2,Low Usage,1.0,Medium Risk
18,Male,5.12,Smartphone,True,0.46,"Poor Sleep, Eye Strain, Obesity Risk",Rural,0,1,1,1,17-19,2.3552,2.7648,1,Heavy Usage,1.0,Medium Risk
8,Male,6.34,TV,True,0.51,Poor Sleep,Urban,0,0,0,1,5-10,3.2334,3.1066,0,Moderate Usage,1.0,Medium Risk
9,Female,5.05,Smartphone,True,0.58,Poor Sleep,Urban,0,0,0,1,5-10,2.929,2.121,1,Heavy Usage,1.0,Medium Risk
13,Male,5.49,Smartphone,True,0.45,Poor Sleep,Urban,0,0,0,1,14-16,2.4705000000000004,3.0195,0,Moderate Usage,1.0,Medium Risk
14,Female,4.51,Laptop,True,0.36,Poor Sleep,Urban,0,0,0,1,14-16,1.6236,2.8864,2,Low Usage,1.0,Medium Risk
8,Male,6.29,Tablet,True,0.49,Poor Sleep,Urban,0,0,0,1,5-10,3.0821,3.2079,0,Moderate Usage,1.0,Medium Risk
10,Female,4.53,TV,True,0.47,Poor Sleep,Urban,0,0,0,1,11-13,2.1291,2.4009,1,Heavy Usage,1.0,Medium Risk
13,Female,4.49,Smartphone,True,0.41,"Poor Sleep, Anxiety",Urban,1,0,0,1,14-16,1.8409,2.6491000000000002,2,Low Usage,1.0,Medium Risk
11,Male,3.74,Smartphone,True,0.42,"Eye Strain, Anxiety",Rural,1,1,0,0,11-13,1.5708,2.1692,1,Heavy Usage,1.0,Medium Risk
14,Female,3.82,Tablet,True,0.46,Poor Sleep,Urban,0,0,0,1,14-16,1.7572,2.0627999999999997,1,Heavy Usage,1.0,Medium Risk
18,Female,6.53,TV,True,0.43,Poor Sleep,Urban,0,0,0,1,17-19,2.8079,3.7221,0,Moderate Usage,1.0,Medium Risk
15,Female,4.54,Laptop,True,0.46,"Poor Sleep, Eye Strain",Urban,0,1,0,1,14-16,2.0884,2.4516,1,Heavy Usage,1.0,Medium Risk
13,Male,4.44,Smartphone,True,0.39,Poor Sleep,Urban,0,0,0,1,14-16,1.7316000000000003,2.7084,2,Low Usage,1.0,Medium Risk
12,Female,3.65,Tablet,True,0.4,Eye Strain,Urban,0,1,0,0,11-13,1.46,2.19,2,Low Usage,1.0,Medium Risk
11,Male,3.85,Laptop,True,0.31,"Poor Sleep, Eye Strain, Obesity Risk",Urban,0,1,1,1,11-13,1.1935,2.6565000000000003,2,Low Usage,1.0,Medium Risk
13,Male,3.65,Laptop,True,0.37,"Poor Sleep, Eye Strain",Rural,0,1,0,1,14-16,1.3505,2.2995,2,Low Usage,1.0,Medium Risk
13,Female,5.78,TV,True,0.43,"Poor Sleep, Obesity Risk",Rural,0,0,1,1,14-16,2.4854000000000003,3.2946,0,Moderate Usage,1.0,Medium Risk
16,Male,4.17,Smartphone,True,0.36,"Poor Sleep, Eye Strain",Urban,0,1,0,1,17-19,1.5011999999999999,2.6688,2,Low Usage,1.0,Medium Risk
18,Male,3.98,Laptop,True,0.37,Poor Sleep,Urban,0,0,0,1,17-19,1.4726,2.5074,2,Low Usage,1.0,Medium Risk
10,Female,6.63,TV,True,0.54,"Poor Sleep, Eye Strain",Urban,0,1,0,1,11-13,3.5802,3.0498,0,Moderate Usage,1.0,Medium Risk
18,Female,5.84,Smartphone,True,0.43,Eye Strain,Urban,0,1,0,0,17-19,2.5112,3.3287999999999998,0,Moderate Usage,1.0,Medium Risk
11,Male,4.78,Smartphone,True,0.39,"Poor Sleep, Anxiety",Rural,1,0,0,1,11-13,1.8642,2.9158,2,Low Usage,1.0,Medium Risk
10,Male,4.13,Smartphone,True,0.4,Poor Sleep,Urban,0,0,0,1,11-13,1.6520000000000001,2.4779999999999998,2,Low Usage,1.0,Medium Risk
17,Male,3.67,Smartphone,True,0.34,Poor Sleep,Urban,0,0,0,1,17-19,1.2478,2.4222,2,Low Usage,1.0,Medium Risk
10,Male,3.02,TV,True,0.46,"Poor Sleep, Obesity Risk",Rural,0,0,1,1,11-13,1.3892,1.6308,1,Heavy Usage,1.0,Medium Risk
11,Female,4.16,Laptop,True,0.36,"Anxiety, Obesity Risk",Urban,1,0,1,0,11-13,1.4976,2.6624,2,Low Usage,1.0,Medium Risk
14,Male,3.9,TV,True,0.37,"Poor Sleep, Eye Strain, Obesity Risk",Urban,0,1,1,1,14-16,1.443,2.457,2,Low Usage,1.0,Medium Risk
16,Male,6.23,Smartphone,True,0.47,Obesity Risk,Rural,0,0,1,0,17-19,2.9281,3.3019000000000003,0,Moderate Usage,1.0,Medium Risk
15,Male,4.88,Smartphone,True,0.34,"Poor Sleep, Obesity Risk",Urban,0,0,1,1,14-16,1.6592,3.2207999999999997,2,Low Usage,1.0,Medium Risk
8,Male,5.36,Tablet,True,0.56,Poor Sleep,Urban,0,0,0,1,5-10,3.0016000000000003,2.3584,1,Heavy Usage,1.0,Medium Risk
16,Male,4.47,TV,True,0.43,"Poor Sleep, Eye Strain, Anxiety",Urban,1,1,0,1,17-19,1.9221,2.5479,1,Heavy Usage,1.0,Medium Risk
16,Female,5.91,TV,True,0.38,Anxiety,Rural,1,0,0,0,17-19,2.2458,3.6642,2,Low Usage,1.0,Medium Risk
14,Female,4.13,Smartphone,True,0.49,"Poor Sleep, Eye Strain, Obesity Risk",Rural,0,1,1,1,14-16,2.0237,2.1063,1,Heavy Usage,1.0,Medium Risk
14,Female,3.27,Tablet,True,0.45,"Poor Sleep, Obesity Risk",Urban,0,0,1,1,14-16,1.4715,1.7985,1,Heavy Usage,1.0,Medium Risk
16,Female,4.14,Smartphone,True,0.41,"Poor Sleep, Eye Strain",Urban,0,1,0,1,17-19,1.6973999999999998,2.4425999999999997,1,Heavy Usage,1.0,Medium Risk
11,Female,3.82,Laptop,True,0.5,"Eye Strain, Anxiety",Urban,1,1,0,0,11-13,1.91,1.91,1,Heavy Usage,1.0,Medium Risk
8,Female,4.69,Smartphone,True,0.59,Poor Sleep,Urban,0,0,0,1,5-10,2.7671,1.9229000000000003,1,Heavy Usage,1.0,Medium Risk
8,Male,3.28,Tablet,True,0.46,Anxiety,Rural,1,0,0,0,5-10,1.5088,1.7711999999999999,1,Heavy Usage,1.0,Medium Risk
12,Male,3.94,TV,True,0.44,Poor Sleep,Urban,0,0,0,1,11-13,1.7336,2.2064,1,Heavy Usage,1.0,Medium Risk
18,Female,5.16,Smartphone,True,0.47,Poor Sleep,Urban,0,0,0,1,17-19,2.4252,2.7348000000000003,1,Heavy Usage,1.0,Medium Risk
